PID: 1437, Index: 0, String dogger
PID: 1438, Index: 1, String racecar
PID: 1439, Index: 2, String puppy
PID: 1440, Index: 3, String 2345678765432
PID: 1441, Index: 4, String computer
PID: 1442, Index: 5, String desktop
PID: 1443, Index: 6, String mouse
PID: 1444, Index: 7, String qwe1ewq
PID: 1445, Index: 8, String poppop
PID: 1446, Index: 9, String hello
PID: 1447, Index: 10, String kitty
PID: 1448, Index: 11, String stuff
PID: 1449, Index: 12, String words
PID: 1450, Index: 13, String Joker
PID: 1451, Index: 14, String PiZzA
PID: 1452, Index: 15, String buddy
PID: 1453, Index: 16, String KOTTOK
PID: 1454, Index: 17, String Lazy
PID: 1455, Index: 18, String wonkey
PID: 1456, Index: 19, String monkey
PID: 1486, Index: 0, String dogger
PID: 1487, Index: 1, String racecar
